id,category,brand,title,description,price,specTableContent
5307736,shoes,,asics gellyte runner chameleon  blacken  mens shoes asics tiger black hn6f09090 en,""" taking inspiration from colour-changing chameleons, asics have updated the gel-lyte runner with chameleoid mesh – a revolutionary technology which shifts its colour between vibrant shades of fiery coral and green gecko. ""@en",,
3350793,shoes,, air jordan 13 retro low brave blueen air blue  pre order  the sneaker authorityen,"""null""@en",,
9872747,shoes,,nike kids mercurialx pro ic  blackmetallic goldchilling reden  nike proximo junior boots indoor red en,""" take your game to the next level.the nikefootballx range combines nike’s cutting-edge boot technology with design elements unique to small-sided football. featuring remixed editions of some of the world’s favourite boots, nike’s latest stable of revolutionary footwear is specifically designed to suit small-sided play. a prime member of the pioneering footballx collection, the mercurialx brings explosive speed into the cage and onto the street.nike consulted small-sided football players around the world in a concerted effort to better understand what makes the perfect small-sided boot. the response was clear and overwhelming: high-performance, with all the proprietary technology of nike’s flagship 11-a-side boots, but adapted for the unique demands of the small-sided game. the same high-quality footwear, remixed.the upper of the nike jr mercurialx pro indoor football boot is designed with trophy touch, micro texture, and an internal cage to lock the foot down while providing a soft touch. the midsole has phylon cushioning in the heel for protection. this boot is ideally designed for use on court surfaces. the outsole is made of a specific non-marking outsole compound and the tread tuned for court surfaces. ""@en",,
8034252,shoes,,nike wmns air force 1 low upstep br white 833123100eu 833123100  bludshopcomeu,"""sneakers shoes nike wmns air force 1 low upstep br""@eu",,
169279,shoes,"""nike""@de",nike tiempo genio ii lea tfde tf  fußballschuhe multinocken nike farbe hellgrau 819216 001 der onlineshop für deine sportbekleidungde,"""scarpe da calcio a 5 di nike, modello tiempo genio ii leather tf.la scarpa da calcio per erba sintetica nike tiempo genio ii leather - uomo offre una trazione eccellente grazie ai tacchetti in gomma progettati per giocare sulle superfici sintetiche. la tomaia in pelle pieno fiore favorisce dribbling, passaggi e tiri accurati. vantaggi:morbida pelle pieno fiore per tocco e calzata ottimali e comfort impermeabile.controtacco in schiuma per ammortizzazione e una calzata stabile e sicura.suola per campi artificiali (tf) con tacchetti in gomma per trazione sulle superfici sintetiche.sottopiede eva ad alta densità per un'ammortizzazione reattiva, comfort e calzata personalizzata. colore: grigio chiaro/nero/arancio.""@de",,
9017575,shoes,"""nike""@de",nike air zoom structure triaxde triax  herren laufschuhe nike farbe weiß 806580 100 der onlineshop für deine sportbekleidungde,"""runnig schuhe nike air zoom struktur 19, ein schuh modell, stabil und schnell.von der oberen flymesh, dichte schaum zwischensohle zu verdreifachen bietet die nike air zoom structure 19-mann premiumsupport und reaktionsfähigkeit benötigt für eine glatte und stabile, die geschwindigkeit begünstigt. reaktionsfreudige dämpfungnike zoom air im vorfußbereich sorgt für hochreaktive, flache dämpfung für die loslösung von den nächsten schritt, eine ideale voraussetzung für den rennsport in schnellem tempo. erhöhte stabilitättriple density zwischensohle dynamic support system reduziert pronation mehr hartschaum auf der innenseite des schaums keil in der ferse und mittelfuß, der den fuß während der übergangsphase unterstützt. halt und komfortdas obere flymesh textil bietet atmungsaktivität und unterstützen gegebenenfalls durch pi & uernst; während zusätzliche fäden eine festere struktur bieten, ohne einbußen bei der belüftung. flywire, große kabel und platten, einbindung in die schnürsenkel und wickeln sie den mittelfuß für überlegene stabilität und hervorragende passform. weitere informationeninnen netzfutter für atmungsaktivität und perfekte passforminterne fersenkappe für eine eng anliegende, sichere passformwaffel-außensohle für strapazierfähigkeit und traktion multi-oberflächerubber außensohle seite schiene abbruch für weiche, fließende übergängetief flex grooves für natürlichere bewegungen gewicht: 317,5 g (herrengröße 44)farbe: weiß mit schwarzem muster/licht grün und blau töne.""@de",,
14905318,shoes,,concave halo youths fg  whitereden  concave kids soccer cleats firm ground whitered en,""" with a smooth synthetic upper that’s extremely durable, the concave halo+ kids fg boots offer reliable comfort to ensure you play the game in comfort.to enhance your control and power, the boots’ concave component sits on the upper part of the laces to provide a larger sweet spot, while its f3 dual-lacing system technology offers support to all foot shapes without contorting their natural form.for seamless comfort, the inside of the halo+ kid’s feature a textile and pu synthetic lining, while eva sockliners provide shock absorption, extra cushioning and energy return to aid propulsion. for controlled footing and stability on firm ground, the outsole is tpu injection while its bladed and oval shaped studs provide superior traction. ""@en",,
296196,shoes,"""nike""",wmns air zoom pegasus 33 nike wmns 33  849812 406  everysizecom,,,
16473572,shoes,, air jordan 5 retro red suedeen air suede   the sneaker authorityen,"""null""@en",,
5057784,shoes,,nike mercurial veloce ii sgpro  bright mangometallic silverhyper turqen  nike mens boots soft ground turq en,""" made with a ultra-thin microfibre that conforms to the shape of the foot for outstanding comfort, the mercurial veloce ii sg-pro football boots have a micro-textured surface for improved touch and control at speed.a heel cup and midfoot combine to provide the mercurial veloce ii football boots with a fantastic locked-down fit while the perforated sockliner offers low-profile cushioning and reduced stud pressure.a lightweight nylon sole plate features redesigned and reconfigured blades for increased stability and a split toe for improved agility. two sets of aluminium studs (11/13mm and 13/15mm) offer custom traction on soft ground. ""@en",,
6708709,shoes,,nike junior mercurial vapor x fg  rouge vif violet persan noirfr  chaussures de football junior nike terrain sec enfant rouge vifviolet persannoir fr,""" l'empeigne sans languette présente un cuir synthétique teijin ultra-fin qui épouse parfaitement la forme du pied telle une seconde peau.l'empeigne texturée sur toute la surface permet l'adhérence de la balle pour un excellent toucher, tandis que la technologie all conditions control (acc) offre un contrôle constant par temps humide ou sec.le motif de traction vapor présente des lames à injection directe qui entrent et sortent rapidement pour une adhérence exceptionnelle dans toutes les directions. la zone d'adhérence à l'avant-pied, inspirée par les chaussures de course à pointes, offre une adhérence efficace à l'impulsion pour garantir de plus grandes pointes de vitesse.semelle intérieure contourée et perforée pour un amorti près du sol et une pression des crampons limitéele châssis en nylon léger transfère l'énergie directement vers les crampons pour plus de réactivité et de stabilitécrampons pour terrain sec (fg) adaptés aux terrains en herbe secs. ""@fr",,
9561837,shoes,,buty concave halo20 fg  czarnyczarnypl  męskie buty piłkarskie trawa naturalna czarny pl,""" gładka, syntetyczna cholewka jest bardzo wytrzymała, concave halo 2.0 fg oferują amortyzację, dla lepszego kontaktu z piłką.aby zwiększyć twoją kontrolę i moc, komponent concave jest usytuowany na górnej części sznurowadeł dla zapewnienia większego idealnego obszaru. f3 (football form fit) system podwójnego sznurowania oferuje wsparcie wszytskim kształtom stóop, bez zmiany ich kształtu.dla bezproblemowego komfortu, wnętrze halo 2.0 posiada tekstylną i syntetyczną pu podszewkę, podczas gdy wkładka eva zapewnia amortyzację i zwrot energii dla zwiększenia napędu.dla kontroli stóp i stabilności na twardych nawierzchniach, podeszwa tpuz istrymi i owalnymi kołkami zapewnia doskonałą trakcję. ""@pl",,
13911793,shoes,"""nike""@en",nike wmns roshe twoen two black 844931004  purchazeen,"""black/black 844931-004 if you want a futuristic runner made out of mesh upper, it is a good idea to have a closer look at the nike wmns roshe two. it is more a lifestyle and lightweight sneaker that adds lot of comfort without the air cushioning. on the upper you can find a complete black upper together with tonal stitching in black, nice and comfortable mesh lining in black, a foamed sockliner which you can also remove if you want. on the tongue you can find also a woven nike swoosh loop in black without any stitching on the back. if you need a fresh running silhouette with quarter support, heel support and some cushioning you have to try out the nike wmns roshe two black. at the complete black midsole you will find a special eva compound, that is soft but supportive and has the durability of a soft rubber. 100% vegan ""@en",,
9994560,shoes,"""nike""@de",nike bruin lite txtde txt  damen freizeit schuhe nike farbe 578364 100 der onlineshop für deine sportbekleidungde,"""scarpe da donna di nike, modello nike bruin lite txt. fai un tuffo nel passato con l'originale scarpa tennis retrò riproposta fedelmente in tutti i particolari, a partire dalla suola in gomma vulcanizzata fino alla linguetta intagliata nella gomma piuma  tomaia in tela di cotone e pelle scamociata. suola in gomma vulcanizzata. chiusura a lacci. colore: bianco/beige/grigio. ""@de",,
16369980,shoes,,air jordan 6 vi retro champagne bottle pro greenmetallic goldchilling redblackenus redblack  new jordans 2015enus,,,
5241907,shoes,,nike tiempox mystic v tf  negroblancoverde electroes  zapatillas de futbolnike electro es,""" estas zapatillas de fútbol nike tiempo mystic tf están confeccionadas con una parte superior de piel suave y flexible para un gran toque del balón, además de una suela con tacos de goma para favorecer una aceleración y unos cambios de dirección más rápidos en césped sintéticocaracterísticas:contratacón de espuma y lengüeta fija para un ajuste cómodopiel flor suaveplantilla de eva de alta densidad que proporciona una amortiguación reactiva para una mayor comodidad y un ajuste personalizablesuela exterior para moqueta (tf) con tacos de goma para una mayor tracción sobre superficies sintéticas ""@es",,
16201545,shoes,"""nike""@fr",zoom speed tr 3fr 00  modèle hommefr speed tr 3 nike noir et vert à partir de 63,"""stable""@fr",,
15820765,shoes,,nike tiempo legend sgpro  anthraciteblackvolten  nike soccer cleats soft ground anthraciteblackvolt en,""" engineered by nike with a revolutionary new double-layer upper construction of supple k-leather and hydrophobic mesh, the legend v sg-pro boots are not only lighter than ever but they'll stay light too!soft k-leather delivers the unrivalled natural feel that's been a hallmark of tiempo boots for almost two decades, kanga-lite reduces weight and newly developed nike technologies bring it bang up-to-date.moisture blocking hypershield technology means the legend v absorbs 73% less water than it's predecessor and also dries significantly faster while acc technology ensures a consistent feel in all conditions.built on an anatomical last with an internal heel counter, the legend v boasts a snug, locked-down and close to the foot fit with a perforated, pre moulded sockliner with poron inserts for ultimate comfort.a full length engineered tpu plate and insole board work together to provide these nike boots with a smooth transition from mid foot to forefoot and multi-directional flexibility. an sg-pro stud configuration features fixed studs and two sets of screw-in aluminium studs (11/13mm and 13/15mm) for versatile traction, comfort and underfoot control on soft ground. ""@en",,
12487402,shoes,"""nike""@de",nike air vortex leatherde leather dunkelblau weiss schwarz 918206401  purchazede,"""dunkelblau/weiss-schwarz 918206-401 der nike air vortex leather ist 1986 zum ersten mal erschienen und war seinerzeit ein leichtgewicht-laufschuh. dieser turnschuh ist teil der nike v-series, wo einige der ultimativen klassiker aus den 80'ern ganz neu aufgelegt wurden! diese farbgebung des nike air vortex leather kommt im klassischen schnitt aus schönem wildleder in dunkelblau, nylonstoff in dunkelblau sowie einem wunderschönen nike swoosh in dunkelblau. am hacken findest du ein nike logo dunkelblau auf dunkelblau. ""@de",,
7023173,shoes,,nike sportswear air max 90 cuir  noirfr  chaussures nike noir 302519001 fr,,,
4325420,shoes,,nike free run distance  nerobiancogrigio scurogrigio lupoit  nike scarpe uomo nerobiancogrigio scurogrigio lupo it,,,
6151565,shoes,"""crew clothing""@en",classic poloen womens cassie tee in whitenavy stripe from crew clothingen,,,
14710312,shoes,"""nike""",nike air zoom mariah flyknit racer 917658002 sneakers for women  upclassics,,,
5024639,shoes,,concave quantum fg  blanc rosefr  concave chaussures pour homme terrain sec blanc rose fr,""" conçues pour plus de puissance et de précision, les chaussures de football concave quantum+ vont optimiser tes performances.l'empeigne en cuir de kangourou est souple et confortable, tandis que le pied intermédiaire en microfibre confine le pied pour une tenue sûre. le concave component sur la partie supérieure des lacets améliore les frappes en créant une plus grande zone de contrôle permettant un contact parfait avec le ballon.les quantum+ intègrent la technologie f3 (football form fit), un système de double laçage unique offrant un soutien et une tenue comme sur mesure à toutes les formes de pied sans déformer leur forme naturelle.la semelle de propreté légère en eva moulé amortit contre les chocs et est ultra confortable.la semelle extérieure en pebax est légère et flexible, tandis que la plaque avec des crampons à lamelles est spécifiquement conçue pour amplifier tes performances sur les terrains secs. ""@fr",,
11319935,shoes,,concave quantum 10 fg blancolimaes  concave botas de futbolterrenos firmesblancolima es,""" estas concave quantum 1.0 fg han sido diseñadas para mejorar tu potencia y precisión para un mejor rendimiento. tienen un empeine de micro-fibra sintética que te da un gran toque del balón. para mayor potencia y control, tienen un componente concave en la parte superior de la lazada para una zona de chute ampliada. incluyen un sistema de lazada doble único f3 (football form fit) que te ofrece un ajuste de mayor soporte y personalizado a la forma de tu pie. plantilla ligera de eva moldeado para absorción de impactos y un acolchado extra. con una suela de tpu inyectado que se extiende hasta el talón para un ajuste mejorado y mayor protección. suela con un diseño de tacos de filo estratégicamente colocados para estabilidad y control en terrenos de césped natural firmes. ""@es",,
26205,shoes,,nike lunarglide 7  noir blanc anthracitefr  nike chaussures pour homme noirblancanthracite fr,,,
6633792,shoes,,asics gelpulse 7  cobalt argent orangefr  asics chaussures pour homme cobalt argent orange fr,,,
2165782,shoes,, keen newport h2 blacktrue red fr keen  ca_frfr,""" newport h2ces supers sandales d'été peuvent supporter tout ce qu'un enfant peut leur infliger. leur lacet en cordon élastique, crochet réglable et bride en boucle permet aux enfants de les mettre et de les retirer seuls. la toile forte à séchage rapide est idéale lorsque les enfants sont dans ou hors de l'eau, ou n'importe où ailleurs.- assise plantaire en eva métatomique- bande en scratch sur le dessus du pied- doublure en maille hydrophobe- empeigne en polyester lavable- semelle extérieure en caoutchouc non-marquante- système de laçage sécuritaire avec clip d'attachehybrid.ologies:assise plantaire métatomiquele mécanisme de soutien interne de ce modèle est anatomiquement conçu pour fournir un excellent soutien de la voûte plantaire et supporte les contours naturels du pied.style: sandalescaractéristique: modèles avec scratch, lavables, lacets élastiquescatégories: outdoor / plein airactivité: rues / ville, école, terrain de jeu, plagestyle: modèles avec scratch, modèles à lacets élastiquesmétéorologie: chaudes- sandale aéréecollections: sandalesgenre: enfants (tailles eu 24-31)doublure: maille hydrophobecaoutchouc: semelle extérieure en caoutchouc non marquanteempeigne / tige: sangles en polyester lavablesastuce de réglage: la majorité de nos clients trouvent que ce style à la juste taille.info supplémentaires sur la mesure: nous avons utilisé une paire de chaussure pointure uk 9 (eu 28) pour nos mesures, il peut y avoir des changements par pointuresconseilles d’entretien pour les sandales aquatiquesconseilles d’entretien pour les sandales aquatiques de keen : toutes les sandales aquatiques de keen sont lavables en machine. simplement utiliser un petit peu de détergent non-abrasif, mettre la machine sur un cycle doux et laisser sécher naturellement. ""@fr",,
2062983,shoes,,nike free train versatility  bianconeroit  nike scarpe uomo bianconero it,,,
13386075,shoes,,air jordan 11 7210 blackgym redwhiteanthraciteenus redwhiteanthracite  hoop jordanenus,,,
6828379,shoes,, keen presidio black pt keen  ptpt,""" keen presidio black the class 5 is rapid transit in water and on dry land. quick drying, soft, moisture-wicking microfiber uppers and a secure fit bungee system with an adjustable heel strap combine for exceptional support and fit, even in gnarly conditions. a pu midsole andif you are in between sizes, we suggest ordering a 1/2 size larger than your usual size!- soft eva footbed - floats - soft microfiber upper - adjustable back heel strap - pu midsole ""@pt",,
12268261,shoes,,nike tiempo rio iii sg  giada clearnerovoltit  nike scarpe uomo terreni morbidi clearnerovolt it,""" con una tomaia in pelle sintetica, le scarpe da calcio rio iii sg offrono un migliore tocco e una maggiore sensibilità sulla palla per migliorare il tuo controllo. un sottopiede in eva ad alta densità offre un'ammortizzazione reattiva, mentre il controtallone in schiuma aiuta atenere fermo il piede anche durante i cambi di direzione. per un'ottima trazione su campi morbidi, la piastra leggera in tpu dispone di tacchetti intercambiabili. ""@it",,
13566875,shoes,,nike tiempo rio iii sg  clear jadeblackvolten  nike mens boots soft ground jadeblackvolt en,""" with a synthetic leather upper, the nike tiempo rio sg football boots offer a great touch and feel on the ball to enhance your control.a high-density eva sockliner provides responsive cushioning, while its foam heel counter helps to lock the foot down and eliminate any movement whilst changing direction.for traction on soft ground, the boot’s lightweight tpu plate with soft ground studs provide grip when changing direction. ""@en",,
12801423,shoes,,puma liga classico fg  blackwhitepuma silveren  puma silver en,""" with a soft and thin full grain leather upper that shapes to the natural contours of the foot, the puma liga classico fg football boots deliver a fantastic fit and a natural touch on the ball.traditional central lacing and a fold over tongue enhance the classic look and add to the comfort while an internal heel counter offers protection around the achilles.lightweight and durable, the pu injected outsole features a moulded conical stud configuration for even pressure distribution and maximum stability and reactivity on firm ground. ""@en",,
3934417,shoes,,nike fc air footscape magista fk  team roodnl  3rd oct nike heren schoenen hardloopschoenen team rood nl,,,
12628697,shoes,,nike free train versatility  nerobiancoit  nike scarpe uomo nerobianco it,,,
4319461,jewelry,"""nike""",max 2 strong sneaker nike max sneaker  multicolor  jimmy jazz 555104100,""" nike high top men's sneaker lace up closure stretch ankle with adjustable velcro strap embroidered nike air logo on heel air bubble cushioned sole """,,
14514204,shoes,,jordan son of mars yeezy blackgym redcool greypulse greenenus buy discount air jordan yeezy blink free shipping  new jordans 2017enus,,,
8578396,shoes,, air jordan 4 retro alternate motorspotsen air motorspots  mens footwear  the sneaker authorityen,"""null""@en",,
14926370,shoes,,nike tiempo legacy ii fg  nerobiancooro metallicoit  nike scarpe uomo terreni compatti nerobiancooro metallico it,""" la tomaia in morbida pelle di vitello garantisce una sensibilità naturale sulla palla che è stata una distinta qualità delle tiempo per quasi due decenni e la nuova tecnologia nike di nuova generazione aggiunge un tocco di innovazione. costruite su una forma anatomica con un tallone interno, le legacy ii fg vantano un comodo sottopiede sagomato preformato che offre ammortizzazione e sostegno e contribuisce a ridurre la pressione dei tacchetti per un maggiore comfort. una piastra a tutta lunghezza in tpu, progettata per muoversi con il piede, lavora all'unisono con la soletta per fornire una transizione graduale dal mesopiede all'avampiede e una flessibilità multi-direzionale.caratteristiche:controtacco in schiuma preformata mantiene il tallone fermo durante il giocopiastra tpu flex si muove con il piede per una migliore trazione e stabilitàlinguetta ancorata rimane ferma nella giusta posizionepelle trapuntata sull'avampiedesottopiede ammortizzante riduce l;a pressione dei tacchetti ""@it",,
5274589,shoes,, keen clearwater cnx blackyellow nl keen  nlnl,""" keen clearwater cnx black/yellow lake, river, waves? the gallatin cnx is your ultralight, full-coverage, go-for-it water shoe. the amphibious rubber sole has flex grooves that move with the foot and razor siping for a secure grip. the low-profile pu midsole provides support with a naturathis style is running a 1/2 small. we suggest ordering a 1/2 size larger than your usual size!- 4mm midsole drop - contoured arch for added midfoot support - lightweight pu midsole - metatarsal ridge for natural underfoot support - molded outsole siping for additional traction - razor siping for improved ground traction - secure fit lace capture s ""@nl",,
7395740,shoes,,nike sportswear air max tavas  black  anthracite blacken  nike mens shoes en,,,
17353043,shoes,, nike wmns air max 90 premium  linen nike 896497200 sneakavenue,,,
7453857,shoes,,asics femmes gelcumulus 17  cobaltturquoisebleufr  chaussures femme asics cobaltturquoisebleu fr,,,
17201856,shoes,,gt2000 5 liteshow damen strassenlauf schuhedeat schuhe  women womens road running shoes asicsdeat,,,
4869057,shoes,"""nike""",free rn nike free rn  831508 100  everysizecom,,,
16177582,shoes,"""baseball monkey""@en",nike alpha huarache mens low turf shoes  blackwhiteen turf and coachen,"""men's nike alpha huarache turf baseball shoe features a full-bootie construction and ankle cushioning for a locked-in fit. its full-length aggressive rubber node outsole provides traction on all pregame surfaces: grass, dirt, turf and rubber. full stretch bootie for ease of entry and a snug, sock-like feel. full-length lunarlon midsole delivers responsive cushioning. aggressive rubber node outsole provides durable traction on all pregame surfaces. perforations in the upper provide lightweight ventilation. reinforced internal skin overlay at the toe helps guard against abrasion.""@en","""USD""@en, ""79.99""@en",
10548501,shoes,,nike sportswear air footscape magista flyknit  blu royal intensoit  scarpe uomo nike intenso it,,,
5954124,shoes,"""nike""@pl",nike free rnpl rn  szary 349 99 pln running 831508101  up8compl,""" stworzone z myślą o potrzebach i komforcie biegaczy - męskie nike free rn to kumulacja innowacji. priorytetem przy ich projektowaniu było uzyskanie efektu maksymalnej amortyzacji i doskonałego dopasowania, a w rezultacie - bezpieczeństwa trenującego. cholewkę tworzy technologiczna siateczka. stopy otula przewiewna skarpeta. włókna flywire, dzięki zintegrowaniu ze sznurowadłami zapewniają wsparcie i dopasowanie. wyjątkowa amortyzacja to zasługa specjalnie skonstruowanego bieżnika podeszwy zewnętrznej, który podczas biegu ulega rozciąganiu.wierzch: materiał tekstylnywyściółka: materiał tekstylnypodeszwa: materiał syntetyczny ""@pl",,
11869751,shoes,,nike tiempo genio ii cuir fg  rouge argentfr  nike chaussures pour homme terrain sec rouge argent fr,""" grâce au contre talon en mousse et à l'empeigne en cuir souple résistant à l'eau, les genio ii cuir fg permettent une tenue confinée et confortable, tandis que la semelle de propreté en eva haute densité offre un excellent amortissement contre les chocs.la semelle extérieure présente des crampons coniques à l'avant-pied et des crampons à lames au talon pour une adhérence parfaite dans les terrains secs. ""@fr",,
1463747,shoes,,asics gel saga winter trail  blacken  mens shoes asics black h5t4n9090 en,""" inspired by the upcoming colder months, the gel saga has received a winter update that’s crafted from premium suede and mesh, finished off with hiking-inspired rope laces and a speckled gel midsole. h5t4n-9090 ""@en",,
14864541,shoes,,puma king pro sg  blackwhiteteam golden  puma mens boots soft ground gold en,""" the puma king pro football boot needs very little introduction. the boot is a timeless classic made from puma lite leather for supreme comfort, feel and durability. the puma collection is all about authenticity, professionalism and competitive edge. the king products combine classic style with advanced features to maintain the advantage on the pitch. the perfect combination of tradition and innovation.the quilted vamp, griptex ankle lining and distinctive pro style fold-over tongue gives the outstanding look and feel we have grown to love and expect from the puma king pro football boots. this classic puma king pro is a super light soccer boot which is both stunning in comfort and feel. designed around a sprint spike concept the boot is made for speed. this puma king pro boot features a soft ground pebax outsole with duoflex technology and tipped conical stud to optimise the foot to ground comfort and flexibility. finished in the classic puma black-white-team colourway this puma king pro football boot is a real part of puma heritage. don't forget you can wear your puma king pro soft ground football boots just like the professionals with our boot id personalisation service. ""@en",,
13904177,shoes,,nike air zoom pegasus 32 para mujervioletaazulblanconegroes  nike mujerzapatillas mujervioletaazulblanconegro es,,,
14354860,shoes,,air jordan 9 copper statue whiteblackmilitia greenenus green  hoop jordanenus,,,
16723887,shoes,, nike air force 1 premium  black nike 905345001 sneakavenue,,,
17419441,shoes,,gt2000 5itit 5  women road running asicsitit,,,
17203657,shoes,,nike junior mercurialx vapor xi cr7 ic  the soccer factoryenus,""" the nike junior mercurialx vapor xi cr7 ic show brings explosive speed to the small-sided game with a locked-down fit and low-profile traction. made with flyknit, the boot is both light and durable for every minute on the field. come get a pair at the soccer factory today! ""@en-us",,
3299479,shoes,"""nike""",tennis classic nike tennis classic  312498130  everysizecom,,,
7877204,shoes,,puma evospeed 14 fg lacablancoeclipse totales  puma botas de futbol terrenos firmeslacablancoeclipse total es,""" el empeine de las nuevas puma evospeed 1.4 fg está confeccionado en suave microfibra para darte un toque suave con el balón, mientras que el sistema speedframe sujeta el pie en las zonas clave en los cambios de dirección. suela diseñada anatómicamente para una mayor ligereza, con una espina speedtrack de pebax que ofrece una mayor reactividad y estabilidad frente a torsión. talón exterior para estabilidad y acolchado en la zona del talón. configuración de suela fg para óptima penetración y tracción en campos de césped natural firmes ""@es",,
549582,shoes,"""nike""",nike classic cortez leather sneakers on line,,,
2185194,shoes,,nike mercurial veloce iii neymar jr fg  blauw orbitwitarmory navynl  heren voetbalschoenen nike ferme grond navy nl,""" de neymar jr. ""written in the stars"" mercurial bevat kleuren die geinspireerd zijn door de braziliaanse vlag en bevatten een astrologische grafiek op de bovenlaag die de belangrijke momenten van zijn leven tekenen zoals zijn verjaardag, belangrijke plaatsen , zijn top snelheid en het meest belangrijke: zijn goals van zijn carrière.doel gids:10/08/2010 bra 2 vs usa 0 – eerste goal voor het braziliaanse nationale voetbal team.05/02/2012 san 1 vs pal 2 – scoorde zijn 100ste carrière goal op zijn 20ste verjaardag.24/09/2013 fcb 4 vs rso 1 – eerste goal voor barça in la liga in camp nou. 26/10/2013 fcb 2 vs rma 1 – el clásico debut en eerste goal tegen real madrid.06/06/2015 fcb 4 vs juv 1 – scoorde in de uefa champions league finale.11/08/2015 fcb 3 vs vil 0 – herdenkwaardig over het hoofd flick talent voor hij een goal scoorde. belangrijke momenten:njr 02.06.92rafaella 11.03.96d.lucca 24.09.11top snelheid 34.7 km/hde veloce is gemaakt met een teijin synthetische bovenlaag en heeft een interne kraag die voelt als een sok en die een goede vaste pasvorm geeft terwijl de getextuurde bovenlaag een goede reactie geeft op de bal. een geperforeerde inlegzool en synthetische doek binnenin de schoen neemt de natuurlijke vorm van de voet aan zodat je een lage gewatteerde demping krijgt.een volle lengte nylon onderstel is zo verwerkt dat het samen met de voet werkt terwijl de chevron gevormde noppen superieure tractie geven op ferme natuurlijke gras gronden. ""@nl",,
10585090,shoes,,gelds trainer 22 nc hardloopschoen voor damesnlnl dames  women fast running asicsnlnl,,,
